method,node,alpha,eps,runtime,Opertion
appr,934,0.003981071705534978,1e-08,262.5380584159866,1599895872
aespappr,934,0.1,1e-08,0.8688904549926519,6245279
locgd,44,0.01,1e-08,101.34823378361762,414740920
appr,800,0.025118864315095808,1e-08,38.42763383872807,241200719
aesplocgd,410,0.01,1e-08,21.979342464357615,142215155
locgd,84,0.003981071705534978,1e-08,153.37509441748261,1089491344
locgd,391,0.002511886431509582,1e-08,299.0229021254927,1742552244
appr,804,0.001,1e-08,1142.9909292459488,6502335020
locgd,31,0.006309573444801936,1e-08,110.18830824457109,666436379
aesplocgd,101,0.1,1e-08,5.054997902363539,21722134
aesplocgd,857,0.1,1e-08,2.9194480534642935,18189423
appr,67,0.003981071705534978,1e-08,246.5382600594312,1603088333
aespappr,177,0.001,1e-08,214.08935485221446,572226382
aespappr,362,0.01584893192461114,1e-08,23.569089649245143,112630282
locgd,421,0.039810717055349734,1e-08,14.594071678817272,72174897
aesplocgd,233,0.01584893192461114,1e-08,22.37163795158267,117095501
locgd,532,0.025118864315095808,1e-08,30.827331645414233,157475988
aespappr,44,0.1,1e-08,1.1855711583048105,6814054
aesplocgd,44,0.06309573444801933,1e-08,5.577401869930327,24545999
locgd,177,0.1,1e-08,1.7050858791917562,16965686
locgd,797,0.06309573444801933,1e-08,4.410622010007501,32729836
aesplocgd,100,0.1,1e-08,1.5749926464632154,12918188
aesplocgd,0,0.006309573444801936,1e-08,49.654432812705636,224094762
locgd,84,0.006309573444801936,1e-08,172.07438057567924,679024779
aespappr,410,0.001584893192461114,1e-08,128.68623125366867,434508557
locgd,362,0.002511886431509582,1e-08,161.02239734027535,1746263488
appr,541,0.039810717055349734,1e-08,18.118074068799615,112054871
locgd,407,0.01,1e-08,91.01700049079955,423813024
locgd,541,0.001584893192461114,1e-08,448.03791408240795,2774987625
aespappr,471,0.01,1e-08,39.86883144173771,147230254
aespappr,962,0.006309573444801936,1e-08,49.06548851542175,202549713
appr,541,0.002511886431509582,1e-08,739.4247768558562,2569749815
appr,785,0.006309573444801936,1e-08,154.74394118692726,1009081709
appr,567,0.002511886431509582,1e-08,427.127555844374,2577542306
aesplocgd,788,0.002511886431509582,1e-08,38.89351245108992,364595172
appr,934,0.1,1e-08,1.0139108104631305,6505353
locgd,857,0.039810717055349734,1e-08,12.360531372949481,84135675
aesplocgd,384,0.025118864315095808,1e-08,10.697799257934093,76453273
aespappr,28,0.001,1e-08,192.10191979445517,570945350
aesplocgd,384,0.001,1e-08,130.66372538916767,577178348
locgd,31,0.06309573444801933,1e-08,3.4750400073826313,12625347
aespappr,0,0.001584893192461114,1e-08,95.99925702996552,448733754
locgd,68,0.003981071705534978,1e-08,197.77981383632869,1090846511
aesplocgd,804,0.06309573444801933,1e-08,3.5129187125712633,22576768
aesplocgd,237,0.001584893192461114,1e-08,61.419996524229646,462237796
locgd,797,0.003981071705534978,1e-08,211.40659461170435,1088087675
aespappr,522,0.06309573444801933,1e-08,6.439528463408351,24736672
appr,567,0.1,1e-08,3.0122659476473927,24237070
aesplocgd,410,0.002511886431509582,1e-08,69.60874078329653,349867716
aesplocgd,100,0.06309573444801933,1e-08,4.796209772117436,30721538
aesplocgd,797,0.001,1e-08,117.32391380146146,582368425
aesplocgd,943,0.001584893192461114,1e-08,57.07856282684952,459057610
appr,50,0.001584893192461114,1e-08,762.8032584022731,4095838830
appr,969,0.003981071705534978,1e-08,410.77423262037337,1619150714
aespappr,407,0.01,1e-08,36.22484537772834,150783528
appr,27,0.001,1e-08,1293.9111520713195,6517594458
locgd,541,0.01,1e-08,71.511383975856,417516481
aesplocgd,661,0.006309573444801936,1e-08,31.396219573915005,226886787
locgd,522,0.003981071705534978,1e-08,231.06353770848364,1089341711
aesplocgd,67,0.06309573444801933,1e-08,6.782028745859861,23405548
appr,198,0.001,1e-08,1412.9080981034786,6501116765
locgd,583,0.01584893192461114,1e-08,53.83565555419773,261109611
aespappr,44,0.01,1e-08,45.95814639888704,141326391
aesplocgd,100,0.01584893192461114,1e-08,16.98362936452031,111093407
appr,489,0.006309573444801936,1e-08,238.85122948419303,995009287
aesplocgd,609,0.01584893192461114,1e-08,17.478949293494225,117921984
aespappr,567,0.025118864315095808,1e-08,19.88766187708825,79559174
appr,84,0.003981071705534978,1e-08,241.4603295251727,1614201519
aesplocgd,654,0.001,1e-08,79.02072758693248,584793597
appr,100,0.039810717055349734,1e-08,17.195797725580633,119729390
aesplocgd,50,0.002511886431509582,1e-08,56.966385090723634,364931699
aespappr,725,0.01584893192461114,1e-08,22.566280893981457,103753786
aespappr,800,0.003981071705534978,1e-08,44.628842492587864,263108190
appr,67,0.01584893192461114,1e-08,68.76803790777922,369747997
appr,0,0.039810717055349734,1e-08,36.85266937408596,140535106
locgd,785,0.001584893192461114,1e-08,520.3247545864433,2778651490
aespappr,788,0.003981071705534978,1e-08,57.553340854123235,264350796
appr,410,0.039810717055349734,1e-08,16.341621512547135,84904158
locgd,922,0.001584893192461114,1e-08,241.46579187829047,2781424438
aesplocgd,922,0.001,1e-08,103.73316989373416,582410868
locgd,800,0.025118864315095808,1e-08,25.92544378619641,160114412
aesplocgd,654,0.06309573444801933,1e-08,7.694036396220326,42320474
aesplocgd,233,0.001,1e-08,92.8866756008938,587933877
appr,541,0.1,1e-08,1.9369567800313234,12156327
appr,654,0.01584893192461114,1e-08,80.90099352411926,394397231
aespappr,0,0.039810717055349734,1e-08,10.792849629186094,55708665
aesplocgd,922,0.001584893192461114,1e-08,81.26466509047896,458632435
locgd,541,0.002511886431509582,1e-08,402.4359516352415,1737760548
locgd,68,0.002511886431509582,1e-08,259.8690028367564,1741092987
locgd,362,0.01,1e-08,63.86107551306486,426705579
aesplocgd,661,0.001584893192461114,1e-08,52.936228265054524,465835693
aespappr,28,0.003981071705534978,1e-08,55.85524798091501,265923576
aesplocgd,785,0.01584893192461114,1e-08,28.96519534382969,114525182
aesplocgd,804,0.003981071705534978,1e-08,45.52737058047205,274690366
aespappr,44,0.006309573444801936,1e-08,33.12189920153469,193689481
aespappr,67,0.002511886431509582,1e-08,71.91623916756362,337553120
appr,100,0.025118864315095808,1e-08,36.91208587028086,222576633
appr,421,0.1,1e-08,2.3879972780123353,12439426
aesplocgd,471,0.01584893192461114,1e-08,21.59487071353942,115432762
locgd,121,0.006309573444801936,1e-08,138.28787615615875,683750202
aespappr,101,0.01,1e-08,50.86159165203571,150193092
aespappr,522,0.002511886431509582,1e-08,83.48294236697257,340720620
aespappr,233,0.01584893192461114,1e-08,28.750714958645403,109439739
aesplocgd,996,0.002511886431509582,1e-08,55.018154124729335,357393348
locgd,969,0.006309573444801936,1e-08,167.24042228981853,683174693
aespappr,100,0.1,1e-08,2.2070183400064707,9349357
locgd,28,0.002511886431509582,1e-08,346.94465806428343,1743143633
aesplocgd,421,0.01,1e-08,40.05890113208443,156414791
aesplocgd,627,0.01584893192461114,1e-08,25.90906681958586,126554710
aespappr,407,0.1,1e-08,2.418575025163591,14272415
aesplocgd,857,0.003981071705534978,1e-08,58.882081085816026,285127002
appr,962,0.006309573444801936,1e-08,166.88250949047506,1016188860
locgd,609,0.001,1e-08,249.04079584404826,4427549598
locgd,571,0.1,1e-08,0.13249802961945534,1396979
appr,934,0.01584893192461114,1e-08,77.09525879565626,361742805
aespappr,471,0.003981071705534978,1e-08,46.59952829871327,263450137
appr,362,0.003981071705534978,1e-08,185.6352983834222,1623305964
